,Palabras,Etiqueta
803,estadio,0
804,saber,7
805,suponer,7
806,federal,8
807,honor,0
808,referencias,8
809,sustituir,7
810,india,8
811,reconocer,9
812,you,8
813,video,5
814,estudio,0
815,novelar,0
816,publicar,9
817,colombia,8
818,internacional,9
819,colombiano,9
820,fase,0
821,informacin,8
822,asociacin,8
823,santiago,8
824,brasil,8
825,moderno,9
826,talar,1
827,espaoles,9
828,originalmente,7
829,amigo,0
830,santo,8
831,espaa,8
832,espaola,8
833,ste,8
834,miguel,8
835,polica,8
836,pablo,8
837,antonio,8
838,msico,8
839,literatura,0
840,departamento,0
841,madrid,8
842,posteriormente,7
843,oficina,5
844,international,4
845,review,4
846,verano,5
847,n,3
848,sencillo,9
849,man,4
850,pequeo,0
851,samba,8
852,influenciar,0
853,barrio,0
854,duque,8
855,poseer,7
856,sitiar,0
857,gracia,0
858,considerar,7
859,gnero,0
860,condicionar,0
861,recibir,7
862,crtica,8
863,gua,8
864,sedar,0
865,figurar,0
866,martnez,8
867,cabo,0
868,xx,0
869,reino,8
870,unido,8
871,modelar,0
872,categora,5
873,pueblo,0
874,extensin,8
875,templar,0
876,oeste,5
877,casero,0
878,madre,0
879,iglesia,8
880,produccin,5
881,rico,9
882,localidad,0
883,empresa,0
884,privar,9
885,energa,8
886,edificio,0
887,bus,0
888,celebrar,7
889,juego,5
890,radio,8
891,radiar,0
892,principalmente,7
893,valle,8
894,uribe,8
895,alcalde,0
896,comunidad,5
897,forzar,0
898,natural,9
899,cadena,0
900,public,8
901,consejo,8
902,proponer,7
903,dividir,9
904,temer,0
905,educacin,8
906,encargar,7
907,hablar,7
908,propiedad,0
909,autoridad,0
910,gobernador,5
911,carretero,0
912,organizacin,8
913,seor,8
914,numeroso,9
915,tren,0
916,puerto,8
917,museo,8
918,mexicano,9
919,tcnico,8
920,falto,0
921,tcnica,8
922,contratar,7
923,snchez,8
924,diario,5
925,conjuntar,0
926,ferrocarril,0
927,senado,8
928,comn,8
929,condado,5
930,eleccin,8
931,colonia,5
932,sistema,0
933,velocidad,0
934,chico,0
935,finalizar,7
936,xix,0
937,paul,8
938,luz,0
939,chicago,8
940,crear,7
941,ideo,0
942,by,4
943,industrial,9
944,serie,5
945,botnico,9
946,plantar,0
947,especie,0
948,plant,4
949,systematics,4
950,ppp,4
951,index,4
952,names,4
953,catalogue,4
954,life,4
955,encyclopedia,4
956,crdoba,8
957,sevilla,8
958,mlaga,8
959,ave,0
960,emitir,9
961,blanca,8
962,invitar,9
963,pedro,8
964,conde,8
965,millón,0
966,ficha,8
967,britnico,9
968,premio,8
969,estudiar,0
970,rodrguez,8
971,venir,7
972,comediar,0
973,f,8
974,text,8
975,x,5
976,catedral,5
977,imagen,0
978,verde,9
979,ciencia,0
980,jean,8
981,centímetro,3
982,banda,0
983,amrica,8
984,so,8
985,paulo,8
986,euro,0
987,proyectar,0
988,biblioteca,5
989,definir,7
990,sovitica,8
991,arquitectura,5
992,distinto,9
993,martn,8
994,casa,8
995,castilla,8
996,len,8
997,london,8
998,lateral,9
999,portar,0
1000,coleccin,8
1001,producto,0
1002,modo,0
1003,carcter,8
1004,solar,9
1005,palacio,8
1006,canal,5
1007,von,8
1008,fricar,8
1009,formacin,8
1010,conocimiento,0
1011,rural,9
1012,sociedad,5
1013,creacin,8
1014,importancia,0
1015,inters,8
1016,especializar,9
1017,proyecto,0
1018,pilar,5
1019,necesidad,0
1020,estn,9
1021,original,9
1022,cre,8
1023,rojo,9
1024,histrico,9
1025,flor,0
1026,secundario,9
1027,funcionar,0
1028,aire,0
1029,colorir,0
1030,venta,0
1031,capacidad,0
1032,futuro,0
1033,tamao,8
1034,superficie,0
1035,vecino,0
1036,pertenecer,7
1037,longitud,5
1038,marcar,0
1039,sol,8
1040,diferenciar,0
1041,animal,0
1042,parque,5
1043,motivar,0
1044,compartir,7
1045,montaas,8
1046,americano,9
1047,can,8
1048,resto,0
1049,rock,5
1050,perodo,5
1051,cantidad,0
1052,milímetro,3
1053,especialmente,7
1054,tropical,9
1055,conectar,7
1056,corresponder,7
1057,urbano,9
1058,james,8
1059,plano,0
1060,national,8
1061,canad,8
1062,designar,7
1063,ofrecer,7
1064,henry,8
1065,periodo,0
1066,listo,0
1067,orihuela,8
1068,valencia,8
1069,actualidad,0
1070,colegio,8
1071,obispo,5
1072,captulo,5
1073,iv,8
1074,arco,0
1075,civil,9
1076,filosofa,8
1077,efecto,0
1078,xvi,0
1079,xviii,0
1080,obrar,0
1081,valladolid,8
1082,alcanzar,7
1083,acceso,0
1084,pieza,0
1085,famoso,9
1086,limitar,9
1087,plaza,5
1088,administracin,8
1089,estructurar,0
1090,d,5
1091,maderar,0
1092,l,8
1093,alemán,9
1094,callar,0
1095,calle,5
1096,verdadero,9
1097,muro,0
1098,memoria,5
1099,tramar,0
1100,francés,9
1101,religioso,9
1102,castillo,5
1103,relacin,0
1104,desear,7
1105,adquirir,7
1106,puerta,0
1107,doblar,9
1108,pintor,0
1109,alfonso,8
1110,mirar,7
1111,s,8
1112,pintura,0
1113,pistar,0
1114,fanergamas,9
1115,color,0
1116,plata,8
1117,ninguno,6
1118,vertical,9
1119,rosario,8
1120,junta,8
1121,der,8
1122,comuna,0
1123,cantn,8
1124,insee,8
1125,elecciones,5
1126,decorar,9
1127,co,5
1128,cd,8
1129,tv,8
1130,michael,8
1131,nacimiento,5
1132,sta,8
1133,elección,0
1134,citar,9
1135,one,4
1136,realidad,0
1137,dios,8
1138,anonceas,0
1139,nativo,9
1140,diseo,8
1141,especial,9
1142,cierto,9
1143,versin,8
1144,aspecto,0
1145,conformar,7
1146,periodista,0
1147,avin,8
1148,motor,0
1149,metal,5
1150,dr,8
1151,formato,0
1152,marqus,8
1153,italiano,9
1154,vasco,8
1155,smith,8
1156,parroquia,5
1157,eje,0
1158,generalmente,7
1159,avenida,8
1160,volumen,0
1161,medioda,8
1162,tarn,8
1163,espadar,0
1164,exterior,9
1165,buque,0
1166,my,8
1167,integrar,9
1168,independiente,9
1169,concepto,0
1170,chileno,9
1171,hab,8
1172,revolucin,8
1173,lee,8
1174,anlisis,5
1175,lanzamiento,0
1176,vano,0
1177,merindad,5
1178,villa,5
1179,cerro,5
1180,burgos,8
1181,jaguar,8
1182,localizar,9
1183,procesar,0
1184,aeropuerto,5
1185,volar,0
1186,funeral,8
1187,dvd,8
1188,that,4
1189,was,4
1190,allen,8
1191,dato,0
1192,van,8
1193,wagner,8
1194,b,8
1195,capilla,0
1196,sierra,8
1197,ventana,0
1198,murcia,8
1199,mundi,3
1200,saln,8
1201,ue,8
1202,hueco,0
1203,cv,3
1204,romeu,8
1205,guerrillero,0
1206,deller,8
1207,lp,8
1208,harmonia,8
1209,najwa,8
1210,till,3
1211,fontsize,3
1212,wilson,8
1213,polaco,9
1214,eln,8
1215,obama,8
1216,apocinceas,0
1217,xs,3
1218,sillar,9
1219,her,4
1220,mcmahon,4
1221,frmaco,8
